"","pcc_ids","sak_ids"
"326","PCCGCIGL_00466","SAKL0A07524g"
"327","PCCGCIGL_00467","SAKL0A07546g"
"328","PCCGCIGL_00468","SAKL0A07568g"
"329","PCCGCIGL_00471","Sklu_YGOB_Anc_6.98"
"330","PCCGCIGL_00473","Sklu_1.trna6E"
"331","PCCGCIGL_00474","SAKL0A07612g"
"332","PCCGCIGL_00475","SAKL0A07634g"
"333","PCCGCIGL_00476","SAKL0A07656g"
"334","PCCGCIGL_00477","SAKL0A07678g"
"335","PCCGCIGL_00479","Sklu_YGOB_Anc_6.93"
"336","PCCGCIGL_00481","SAKL0A07700g"
"337","PCCGCIGL_00482","SAKL0A07722g"
"338","PCCGCIGL_00484","SAKL0A07744g"
"339","PCCGCIGL_00485","SAKL0A07766g"
"340","PCCGCIGL_00487","SAKL0A07788g"
"341","PCCGCIGL_00489","SAKL0A07810g"
"342","PCCGCIGL_00490","SAKL0A07832g"
"343","PCCGCIGL_00492","SAKL0A07854g"
"344","PCCGCIGL_00493","SAKL0A07876g"
"345","PCCGCIGL_00494","SAKL0A07898g"
"346","PCCGCIGL_00495","SAKL0A07920g"
"347","PCCGCIGL_00496","SAKL0A07942g"
"348","PCCGCIGL_00499","SAKL0A07964g"
"349","PCCGCIGL_00501","SAKL0A07986g"
"350","PCCGCIGL_00502","SAKL0A08008g"
"351","PCCGCIGL_00503","SAKL0A08030g"
"352","PCCGCIGL_00504","SAKL0A08052g"
"353","PCCGCIGL_00505","SAKL0A08074g"
"354","PCCGCIGL_00507","SAKL0A08096g"
"355","PCCGCIGL_00508","SAKL0A08118g"
"356","PCCGCIGL_00511","SAKL0A08140g"
"357","PCCGCIGL_00512","SAKL0A08162g"
"358","PCCGCIGL_00515","SAKL0A08184g"
"359","PCCGCIGL_00517","SAKL0A08206g"
"360","PCCGCIGL_00522","SAKL0A08228g"
"361","PCCGCIGL_00523","SAKL0A08250g"
"362","PCCGCIGL_00525","Sklu_1.trna7V"
"363","PCCGCIGL_00526","SAKL0A08360g"
"364","PCCGCIGL_00527","SAKL0A08382g"
"365","PCCGCIGL_00528","SAKL0A08404g"
"366","PCCGCIGL_00529","SAKL0A08426g"
