Condition,SAKIDs,IDs,Value,pcc_ids,highlight
YPD,SAKL0A05478g,11249,-3.085868983,PCCGCIGL_00333,FALSE
YPD,SAKL0A05500g,14785,-1.845959185,PCCGCIGL_00334,FALSE
YPD,SAKL0A05522g,13012,-1.423775372,PCCGCIGL_00335,FALSE
YPD,SAKL0A05588g,13978,-2.090705629,PCCGCIGL_00338,FALSE
YPD,SAKL0A05610g,10809,-4.139544522,PCCGCIGL_00339,FALSE
YPD,SAKL0A05632g,13575,-5.338137708,PCCGCIGL_00341,FALSE
YPD,SAKL0A05654g,12235,-3.947073391,PCCGCIGL_00342,FALSE
YPD,SAKL0A05676g,11769,-4.833352653,PCCGCIGL_00344,FALSE
YPD,SAKL0A05698g,10173,-3.727029907,PCCGCIGL_00347,FALSE
YPD,SAKL0A05720g,10382,0.588026055,PCCGCIGL_00348,FALSE
YPD,SAKL0A05742g,10038,-1.385428625,PCCGCIGL_00349,FALSE
YPD,SAKL0A05764g,11299,-0.923608302,PCCGCIGL_00350,FALSE
YPD,SAKL0A05786g,13742,-6.895457642,PCCGCIGL_00352,FALSE
YPD,SAKL0A05808g,13900,-0.800784593,PCCGCIGL_00353,FALSE
YPD,SAKL0A05830g,14877,-3.204108352,PCCGCIGL_00354,FALSE
YPD,SAKL0A05874g,13628,-0.813051226,PCCGCIGL_00358,FALSE
YPD,SAKL0A05896g,12881,-3.101990646,PCCGCIGL_00359,FALSE
YPD,SAKL0A05918g,11663,-1.68871191,PCCGCIGL_00361,FALSE
YPD,SAKL0A05940g,14499,-0.527025043,PCCGCIGL_00362,FALSE
YPD,SAKL0A05962g,14199,-2.192805101,PCCGCIGL_00365,FALSE
YPD,SAKL0A05984g,12712,-2.860127242,PCCGCIGL_00366,FALSE
YPD,SAKL0A06006g,11726,-1.428424443,PCCGCIGL_00367,FALSE
YPD,SAKL0A06028g,11579,-0.31949751,PCCGCIGL_00369,FALSE
YPD,SAKL0A06050g,12801,-3.78310353,PCCGCIGL_00371,FALSE
YPD,SAKL0A06072g,13337,-2.398115484,PCCGCIGL_00372,FALSE
YPD,SAKL0A06094g,11972,0.64537796,PCCGCIGL_00373,FALSE
YPD,SAKL0A06116g,13288,-3.204944733,PCCGCIGL_00374,FALSE
YPD,SAKL0A06138g,10129,-0.83104494,PCCGCIGL_00375,FALSE
YPD,SAKL0A06160g,12259,-0.461750769,PCCGCIGL_00376,FALSE
YPD,SAKL0A06182g,14618,-3.590099627,PCCGCIGL_00377,FALSE
YPD,SAKL0A06204g,10133,-3.034042318,PCCGCIGL_00378,FALSE
YPD,SAKL0A06226g,13521,-1.863701581,PCCGCIGL_00380,FALSE
YPD,SAKL0A06248g,10766,-2.826295456,PCCGCIGL_00381,FALSE
YPD,SAKL0A06270g,11896,-3.581364962,PCCGCIGL_00382,FALSE
YPD,SAKL0A06292g,14317,-0.815373031,PCCGCIGL_00383,FALSE
YPD,SAKL0A06314g,14644,-0.845714143,PCCGCIGL_00384,FALSE
YPD,SAKL0A06336g,13562,-3.567806569,PCCGCIGL_00385,FALSE
YPD,SAKL0A06358g,15172,-1.017612203,PCCGCIGL_00386,FALSE
YPD,SAKL0A06380g,12848,-4.29687426,PCCGCIGL_00387,FALSE
YPD,SAKL0A06402g,12297,-5.463491872,PCCGCIGL_00388,FALSE
YPD,SAKL0A06424g,13217,-2.913741397,PCCGCIGL_00391,FALSE
YPD,SAKL0A06446g,10548,-4.255540699,PCCGCIGL_00392,FALSE
YPD,SAKL0A06468g,13751,-3.592740354,PCCGCIGL_00393,FALSE
YPD,SAKL0A06490g,10326,-2.021455196,PCCGCIGL_00394,FALSE
YPD,SAKL0A06534g,13720,-2.328105246,PCCGCIGL_00395,FALSE
YPD,SAKL0A06556g,11943,NA,PCCGCIGL_00397,FALSE
YPD,SAKL0A06578g,14162,-4.996499059,PCCGCIGL_00399,FALSE
YPD,SAKL0A06666g,13902,-5.86555758,PCCGCIGL_00402,FALSE
YPD,SAKL0A06688g,14335,-1.408098861,PCCGCIGL_00404,FALSE
YPD,SAKL0A06710g,12730,-0.380457906,PCCGCIGL_00406,FALSE
YPD,SAKL0A06732g,12225,-5.69200766,PCCGCIGL_00407,FALSE
YPD,SAKL0A06754g,13668,-0.947349118,PCCGCIGL_00408,FALSE
YPD,SAKL0A06776g,11862,3.336292383,PCCGCIGL_00409,FALSE
YPD,SAKL0A06798g,10774,-1.131982923,PCCGCIGL_00410,FALSE
YPD,SAKL0A06820g,14021,-3.953054972,PCCGCIGL_00413,FALSE
YPD,SAKL0A06842g,14134,-5.407883514,PCCGCIGL_00414,FALSE
YPD,SAKL0A06864g,10087,-2.785435393,PCCGCIGL_00415,FALSE
YPD,SAKL0A06886g,15169,-4.762795669,PCCGCIGL_00416,FALSE
YPD,SAKL0A06908g,12766,-2.60771466,PCCGCIGL_00417,FALSE
YPD,SAKL0A06930g,15023,-3.480393168,PCCGCIGL_00418,FALSE
YPD,SAKL0A06952g,14222,-2.297698839,PCCGCIGL_00422,FALSE
YPD,SAKL0A06974g,12992,-4.505830821,PCCGCIGL_00423,FALSE
YPD,SAKL0A06996g,12986,-2.251592481,PCCGCIGL_00424,FALSE
YPD,SAKL0A07018g,11270,1.805064978,PCCGCIGL_00425,FALSE
YPD,SAKL0A07040g,10378,-2.434665105,PCCGCIGL_00427,FALSE
YPD,SAKL0A07062g,11683,-1.871800664,PCCGCIGL_00428,FALSE
YPD,SAKL0A07084g,14759,-2.410349616,PCCGCIGL_00430,FALSE
YPD,SAKL0A07106g,10285,-2.283045819,PCCGCIGL_00432,FALSE
YPD,SAKL0A07128g,14415,-0.237963699,PCCGCIGL_00435,FALSE
YPD,SAKL0A07150g,11212,-3.282433495,PCCGCIGL_00436,FALSE
YPD,SAKL0A07172g,13304,-3.819104762,PCCGCIGL_00437,FALSE
YPD,SAKL0A07194g,11599,-2.564065694,PCCGCIGL_00439,FALSE
YPD,SAKL0A07216g,10383,-2.663243124,PCCGCIGL_00440,FALSE
YPD,SAKL0A07238g,14939,-3.769932129,PCCGCIGL_00441,FALSE
YPD,SAKL0A07260g,14298,-1.988038643,PCCGCIGL_00442,FALSE
YPD,SAKL0A07282g,14753,-2.80865607,PCCGCIGL_00444,FALSE
YPD,SAKL0A07304g,13798,-1.972763396,PCCGCIGL_00445,FALSE
YPD,SAKL0A07326g,10476,1.835674978,PCCGCIGL_00446,FALSE
YPD,SAKL0A07348g,14904,-1.876106981,PCCGCIGL_00447,FALSE
YPD,SAKL0A07370g,13929,-2.641826055,PCCGCIGL_00452,FALSE
YPD,SAKL0A07392g,15256,-3.207589356,PCCGCIGL_00456,FALSE
YPD,SAKL0A07414g,11192,-0.445334184,PCCGCIGL_00458,FALSE
YPD,SAKL0A07480g,11944,-3.855675637,PCCGCIGL_00461,FALSE
YPD,SAKL0A07502g,11214,-5.064049654,PCCGCIGL_00465,FALSE
YPD,SAKL0A07524g,13411,-0.595768466,PCCGCIGL_00466,FALSE
YPD,SAKL0A07546g,13413,-2.656331128,PCCGCIGL_00467,FALSE
YPD,SAKL0A07568g,14163,1.306473636,PCCGCIGL_00468,FALSE
YPD,SAKL0A07612g,10621,-3.006662602,PCCGCIGL_00474,FALSE
YPD,SAKL0A07634g,14158,-3.721621535,PCCGCIGL_00475,FALSE
YPD,SAKL0A07656g,11917,1.817115013,PCCGCIGL_00476,FALSE
YPD,SAKL0A07678g,11163,-3.164691807,PCCGCIGL_00477,FALSE
YPD,SAKL0A07700g,13167,0.839923862,PCCGCIGL_00481,FALSE
YPD,SAKL0A07722g,11216,-4.502241991,PCCGCIGL_00482,FALSE
YPD,SAKL0A07744g,11612,2.779395509,PCCGCIGL_00484,FALSE
YPD,SAKL0A07766g,15150,-0.337221786,PCCGCIGL_00485,FALSE
YPD,SAKL0A07788g,14676,-1.499698712,PCCGCIGL_00487,FALSE
YPD,SAKL0A07810g,13115,-2.143728782,PCCGCIGL_00489,FALSE
YPD,SAKL0A07832g,13715,-3.332743085,PCCGCIGL_00490,FALSE
YPD,SAKL0A07854g,13932,-4.010458609,PCCGCIGL_00492,FALSE
YPD,SAKL0A07876g,10298,-0.168333242,PCCGCIGL_00493,FALSE
YPD,SAKL0A07898g,11055,3.690263128,PCCGCIGL_00494,FALSE
YPD,SAKL0A07920g,13659,-0.728996899,PCCGCIGL_00495,FALSE
YPD,SAKL0A07942g,12214,-2.042181993,PCCGCIGL_00496,FALSE
YPD,SAKL0A07964g,14751,-1.478288418,PCCGCIGL_00499,FALSE
YPD,SAKL0A07986g,13122,0.227561425,PCCGCIGL_00501,FALSE
